               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.026263,            0.012635,                   0,             0.87675,             0.78316,              0.8861,             0.58819,            0.026462,           0.0070335,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.027245,             0.01241,                   0,             0.85889,                0.82,             0.89632,             0.59477,            0.025755,           0.0070177,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.026564,            0.012751,                   0,              0.8301,             0.86105,             0.90548,             0.60783,            0.025123,           0.0069008,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026701,            0.012333,                   0,             0.83884,             0.79158,             0.87972,             0.59545,            0.026277,           0.0070754,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.026847,            0.012172,                   0,             0.85551,             0.81026,              0.8797,             0.58887,            0.026878,           0.0071564,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.026154,            0.012167,                   0,             0.81144,             0.80181,             0.84815,             0.57075,            0.027708,           0.0073437,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.025859,             0.01212,                   0,             0.86773,             0.78632,             0.87659,             0.61952,            0.025763,           0.0069559,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.024964,            0.011863,                   0,             0.88369,             0.85158,             0.91532,              0.6086,            0.026049,            0.006738,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.025338,            0.012298,                   0,             0.80242,             0.82508,             0.86192,             0.57188,            0.026925,           0.0074439,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.024896,            0.011986,                   0,             0.85676,             0.84632,             0.88971,             0.61893,            0.027113,           0.0068348,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.024743,            0.011566,                   0,               0.855,             0.82842,             0.89884,             0.60823,            0.026117,           0.0070208,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.024381,            0.011612,                   0,             0.84054,             0.86632,              0.9107,             0.62733,            0.025393,           0.0068013,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.024144,            0.011703,                   0,             0.82169,             0.82949,             0.90003,             0.62063,              0.0242,           0.0070031,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.02454,            0.011503,                   0,             0.84424,             0.84947,             0.90555,             0.60501,            0.025572,           0.0068277,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.024564,            0.011966,                   0,              0.7706,             0.83579,             0.87642,             0.59663,            0.026239,           0.0074109,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.02435,             0.01149,                   0,             0.83857,             0.83117,             0.89614,              0.5959,            0.027427,           0.0069745,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.024168,            0.011712,                   0,             0.87783,             0.86316,             0.91432,             0.61387,            0.026619,           0.0067841,                   0,            0.004753,            0.004753,            0.004753
